label	replace by
ai	artificial intelligence
artificial intelligence (ai)	artificial intelligence
ai adoption	artificial intelligence adoption
ai competency	artificial intelligence competency
ai ethics	artificial intelligence ethics
ethical ai	artificial intelligence ethics
ethical ai use	artificial intelligence ethics
ethical use of ai	artificial intelligence ethics
ai in education	artificial intelligence in education
artificial intelligence in education	artificial intelligence in education
artificial intelligence in higher education	artificial intelligence in education
aied	artificial intelligence in education
ai integration	artificial intelligence integration
ai literacy	artificial intelligence literacy
genai literacy	generative artificial intelligence literacy
ai tools	artificial intelligence tools
ai-assisted learning	artificial intelligence assisted learning
genai	generative artificial intelligence
generative ai	generative artificial intelligence
generative ai (genai)	generative artificial intelligence
generative artificial intelligence (gai)	generative artificial intelligence
generative artificial intelligence (genai)	generative artificial intelligence
generative ai in education	generative artificial intelligence in education
generative ai tools	generative artificial intelligence tools
chatbot	chatbots
large language model	large language models
large language models (llms)	large language models
llm	large language models
llms	large language models
gpt	chatgpt
tam	technology acceptance model
technology acceptance model (tam)	technology acceptance model
utaut	unified theory of acceptance and use of technology
utaut2	unified theory of acceptance and use of technology
attitudes	attitude
perception	perceptions
student perception	student perceptions
student	students
college students	students
undergraduate students	students
university students	students
teacher	teachers
university	universities
academic	academics
higher education institutions	higher education
tertiary education	higher education
education technology	educational technology
personalized learning	personalised learning
systematic literature review	systematic review
qualitative	qualitative research
writing	academic writing
writing pedagogy	academic writing
