id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
24	academic dishonesty	0.1397	0.782	1	8	8	6	2025.1667	3.1667	0.64
37	academic integrity	0.182	0.0377	2	73	179	114	2024.7719	14.4298	1.0163
47	academic literacy	1.3029	-0.2288	2	5	5	5	2024.8	1.2	0.0463
48	academic misconduct	-0.1251	0.8308	1	16	21	12	2024.8333	11.8333	0.9883
52	academic performance	-0.5615	0.3284	1	18	19	10	2024.9	4.7	1.2908
72	academic writing	0.1552	-0.1499	2	43	75	50	2025.2	10.46	2.5046
75	academics	-0.4047	0.3368	1	10	13	9	2024.5556	7.3333	0.5649
81	accessibility	-0.7342	-0.1619	1	6	6	5	2025.2	1.6	0.4009
96	adaptive learning	0.8056	0.334	2	9	10	8	2024.875	24.875	0.9392
103	adoption	-0.6228	-0.7264	3	7	8	6	2024.8333	11.3333	1.4186
341	art education	0.0236	-0.1154	3	5	6	5	2025.2	2.6	0.5255
347	artificial intelligence adoption	0.8828	-0.3888	2	10	13	8	2025.25	4.125	0.2206
351	artificial intelligence assisted learning	0.6322	-0.9025	2	7	9	6	2025.1667	6.3333	0.9803
352	artificial intelligence competency	0.6025	-0.1384	2	9	13	5	2025	8	0.6359
354	artificial intelligence ethics	0.5012	-0.3452	2	42	86	59	2025	7.1356	2.0309
361	artificial intelligence in education	0.1451	-0.3949	2	39	90	60	2024.9333	9.6833	1.2882
366	artificial intelligence integration	-0.0083	-0.2795	3	10	11	7	2024.8571	7.1429	1.0466
368	artificial intelligence literacy	0.2388	-0.2485	2	70	139	81	2025	29.3086	1.7927
376	artificial intelligence tools	0.2925	-0.0092	3	11	14	11	2024.6364	9.4545	1.188
392	assessment	0.1705	-0.0398	2	26	34	23	2024.8261	41.7826	0.9894
394	assessment design	1.0228	-0.0165	2	11	13	7	2024.8571	26.7143	0.5138
415	attitude	-0.3846	0.513	1	21	28	19	2024.9474	6	0.7738
429	authentic assessment	0.9	-0.4918	2	7	7	5	2025.4	6.8	0.328
435	authorship	0.0876	1.0486	4	12	18	5	2023.8	33.2	0.977
450	awareness	0.5246	0.9439	1	7	7	5	2024.8	16.8	0.8122
457	behavioral intention	-0.4779	-0.6184	3	11	11	5	2025.2	41	8.2863
467	benefits	-0.9529	-0.2209	1	6	9	7	2024.4286	42.7143	0.6626
474	bibliometric analysis	0.7244	0.4768	2	8	10	10	2025.3	6.1	0.7811
477	bibliometrics	0.0839	0.6591	1	7	9	5	2025	1.4	0.2829
523	case study	1.3659	-0.3008	2	4	4	5	2024.8	3.4	0.491
532	challenges	-0.7545	-0.0671	1	16	21	15	2024.9333	20.6667	1.0117
542	chatbots	-0.0454	0.0064	3	54	128	63	2024.5238	32.0635	0.9151
566	cheating	-0.0112	0.5749	1	10	11	7	2024.8571	6.7143	1.3103
569	china	-0.4909	0.8072	1	6	6	7	2025.2857	2.5714	0.5197
621	collaboration	0.6377	0.1693	2	19	25	6	2024.6667	29	1.3651
623	collaborative learning	0.3474	0.2799	3	4	5	5	2025	15.4	3.0143
685	content analysis	-0.0187	0.7075	1	8	9	5	2025	2.8	0.6434
729	creativity	-0.209	-0.1053	3	16	21	15	2025.2	17	2.4084
748	critical pedagogy	0.8022	-0.712	2	3	3	6	2025.1667	0.8333	0.1684
752	critical thinking	0.1539	-0.2707	2	30	46	29	2025.1034	8	0.554
776	curriculum design	-0.441	-0.1526	1	8	8	5	2025.2	0.6	0.1213
799	data privacy	0.5772	0.2789	2	11	13	7	2025.1429	13.7143	0.6697
812	deep learning	-0.2985	0.9437	1	8	13	9	2024.3333	83.4444	0.9152
826	dental education	-0.828	0.2306	3	6	6	5	2025	19.4	1.4031
837	design education	1.3523	-0.3422	2	3	3	7	2024.7143	7	0.1073
882	digital competence	-0.8432	-0.176	1	9	10	6	2025.3333	0.5	0.5572
905	digital literacy	-0.0162	0.1086	1	32	46	26	2025.1538	4.6538	0.597
908	digital pedagogy	0.3931	-0.7891	2	8	8	8	2025.125	4.25	0.5115
917	digital technology	0.253	0.3358	3	6	7	6	2024.8333	5.1667	0.1734
982	education	-0.1295	0.1589	1	66	173	85	2024.6824	17.0824	0.8039
1006	educational innovation	0.6221	-0.5247	2	13	15	20	2025.05	1.5	0.1754
1025	educational technology	0.3237	-0.1383	2	55	118	56	2025.0179	9.8393	0.8265
1037	efl	-0.3606	-0.1103	1	7	9	6	2025.5	1	0.2021
1091	engineering education	0.5509	-0.5849	2	17	22	16	2024.875	1.8125	0.2373
1171	ethical concerns	-0.2903	-0.8993	3	9	10	8	2025.125	3	0.5246
1175	ethical considerations	0.3876	0.5693	1	11	12	11	2024.5455	13.6364	0.9239
1186	ethical implications	0.478	0.0769	3	5	7	6	2024.5	7.8333	0.6022
1212	ethics	-0.0858	0.2414	3	60	165	84	2024.8333	17.131	0.8095
1242	experiential learning	0.8181	-0.5998	2	8	8	11	2024.9091	4.2727	0.2542
1258	faculty	-1.1098	0.1737	1	21	28	6	2024.8333	9.1667	1.8526
1262	faculty development	-1.0916	-0.0952	1	11	13	6	2025	3.3333	0.5647
1400	generative artificial intelligence in education	-0.0744	-0.5467	3	9	13	10	2025	5.1	0.4258
1401	generative artificial intelligence literacy	0.5854	1.0424	1	3	3	5	2025.2	0.2	0.0404
1402	generative artificial intelligence tools	-0.5885	-0.4894	3	11	12	8	2024.625	8.875	1.4054
1454	guidelines	-0.0215	-0.8645	2	8	11	5	2024.8	7.8	1.2494
1608	information literacy	0.8472	0.1067	2	10	13	6	2024.8333	1	0.0659
1617	innovation	-0.5238	0.5391	1	15	19	9	2024.6667	15.5556	0.9013
1681	international students	0.9087	0.1916	2	8	10	5	2024.4	71.8	1.8575
1720	knowledge	-0.5481	-0.2523	1	20	28	10	2024.9	20.3	0.9076
1737	l2 writing	0.3021	1.0378	1	4	5	6	2025.3333	4.5	0.2283
1763	large language models	-0.08	0.3332	1	70	187	114	2024.7281	34.4649	0.8261
1780	learning	-0.6316	0.5479	1	34	75	25	2024.52	15.2	1.4633
1807	learning outcomes	0.3857	-0.4043	2	8	9	6	2024.1667	47.6667	1.9508
1863	machine learning	-0.2316	0.5909	1	26	35	17	2024.7059	39.7059	1.2389
1869	management education	0.2082	-0.5096	2	8	8	5	2025.4	0.6	0.395
1906	medical education	-0.7968	0.3905	1	28	50	21	2025	9.8095	1.2204
1911	medical students	-0.9983	0.3174	1	15	20	6	2025	14.6667	1.5745
1991	natural language processing	-0.1583	0.6963	4	19	31	8	2024.125	97.625	1.599
2025	nursing	-0.4372	1.0381	1	10	10	5	2025.2	6.6	1.3339
2027	nursing education	0.4828	0.1828	2	13	17	9	2025.2222	4.3333	0.3308
2047	online learning	0.741	-0.2122	2	8	8	6	2024.6667	8.1667	0.2414
2063	openai	0.2847	0.5502	3	6	7	5	2023.8	63.2	0.6558
2122	pedagogy	-0.1624	0.0053	1	31	44	36	2024.6111	6.5278	0.6469
