id	keyword	occurrences	total link strength
25	academic dishonesty	6	18
38	academic integrity	114	374
48	academic literacy	5	13
49	academic misconduct	12	40
53	academic performance	10	34
73	academic writing	34	101
76	academics	7	28
82	accessibility	5	13
97	adaptive learning	8	21
104	adoption	6	18
124	ai	66	254
127	ai adoption	8	22
144	ai competency	5	21
160	ai ethics	42	116
181	ai in education	28	76
194	ai integration	7	21
201	ai literacy	77	236
236	ai tools	10	26
257	ai-assisted learning	6	16
306	aied	7	61
352	art education	5	13
355	artificial intelligence	381	1078
356	artificial intelligence (ai)	52	119
370	artificial intelligence in education	21	47
374	artificial intelligence in higher education	5	7
401	assessment	23	67
403	assessment design	7	22
424	attitude	7	22
429	attitudes	12	37
439	authentic assessment	5	16
445	authorship	5	31
460	awareness	5	12
467	behavioral intention	5	17
477	benefits	7	24
484	bibliometric analysis	10	32
487	bibliometrics	5	16
533	case study	5	11
542	challenges	15	43
550	chatbot	18	59
553	chatbots	45	193
555	chatgpt	405	1125
577	cheating	7	23
580	china	7	18
632	collaboration	6	46
634	collaborative learning	5	10
641	college students	6	15
697	content analysis	5	17
741	creativity	15	40
760	critical pedagogy	6	11
764	critical thinking	29	99
788	curriculum design	5	14
811	data privacy	7	20
824	deep learning	9	26
838	dental education	5	20
849	design education	7	11
894	digital competence	6	20
917	digital literacy	26	85
920	digital pedagogy	8	18
929	digital technology	6	11
994	education	85	329
1004	education technology	5	20
1019	educational innovation	20	54
1038	educational technology	51	217
1050	efl	6	16
1104	engineering education	16	48
1162	ethical ai	6	15
1166	ethical ai use	7	22
1186	ethical concerns	8	24
1190	ethical considerations	11	29
1201	ethical implications	6	17
1225	ethical use of ai	5	17
1228	ethics	84	316
1258	experiential learning	11	21
1274	faculty	6	37
1278	faculty development	6	18
1357	genai	50	175
1366	genai literacy	5	9
1388	generative ai	321	839
1390	generative ai (genai)	13	31
1398	generative ai in education	9	13
1407	generative ai tools	5	12
1415	generative artificial intelligence	189	475
1417	generative artificial intelligence (gai)	11	25
1420	generative artificial intelligence (genai)	22	52
1450	gpt	6	44
1478	guidelines	5	24
1513	higher education	438	1264
1520	higher education institutions	11	29
1633	information literacy	6	20
1642	innovation	9	39
1706	international students	5	16
1745	knowledge	10	44
1762	l2 writing	6	14
1785	large language model	19	60
1789	large language models	72	243
1791	large language models (llms)	11	38
1807	learning	25	135
1834	learning outcomes	6	17
1880	llm	11	38
1886	llms	11	71
1892	machine learning	17	72
1898	management education	5	15
1935	medical education	21	91
1940	medical students	6	32
2020	natural language processing	8	62
2054	nursing	5	18
2056	nursing education	9	30
2076	online learning	6	16
2092	openai	5	15
2151	pedagogy	36	99
2176	perceived usefulness	5	9
2178	perception	8	28
2179	perceptions	14	56
2189	personalised learning	5	12
2196	personalized learning	16	57
2222	plagiarism	22	84
2229	pls-sem	6	18
2233	policy	6	23
2270	pre-service teachers	6	10
2276	prisma	5	18
2294	professional development	6	13
2314	prompt engineering	14	47
2350	qualitative	7	22
2355	qualitative research	6	15
2361	quality education	5	11
2412	research	10	35
2425	research integrity	5	14
2452	responsible ai	6	18
2453	responsible ai use	5	15
2482	saudi arabia	7	27
2487	scale development	5	14
2510	scoping review	5	16
2533	self-directed learning	6	21
2536	self-regulated learning	12	26
2579	social influence	5	10
2646	student	5	27
2656	student engagement	9	28
2665	student learning	5	16
2668	student perception	8	27
2670	student perceptions	16	52
2690	students	25	83
2719	survey	11	39
2722	sustainability	7	18
2727	sustainable development goals	7	21
2729	sustainable education	5	15
2749	systematic literature review	7	25
2750	systematic review	10	31
2771	teacher education	9	19
2783	teachers	9	28
2789	teaching	20	101
2793	teaching and learning	18	58
2829	technology	14	44
2832	technology acceptance	16	50
2833	technology acceptance model	16	44
2834	technology acceptance model (tam)	7	12
2835	technology adoption	17	59
2844	technology integration	8	27
2863	tertiary education	5	20
2878	thematic analysis	9	37
2879	theory of planned behavior	5	17
2900	training	11	59
2918	transparency	5	14
2923	trust	7	22
2946	undergraduate students	5	14
2962	universities	10	42
2963	university	16	60
2977	university students	16	45
3015	utaut	6	21
3018	utaut2	7	21
3024	validity	5	14
3068	writing	10	28
3076	writing pedagogy	6	18
